n,hief_2013,inmp_cat
1,76.3,Maintain
2,13.9,Maintain
3,37.2,Maintain
4,NA,Maintain
5,NA,Maintain
6,77.9,Maintain
7,NA,Maintain
8,15.8,Maintain
9,4.5,Maintain
10,27.6,Maintain
11,24.8,Raise
12,12.2,Maintain
13,NA,Maintain
14,58.2,Lower
15,2.5,Maintain
16,NA,Lower
17,30.9,Raise
18,59.2,Maintain
19,NA,Lower
20,65.1,Maintain
21,57.2,Maintain
22,63.7,Maintain
23,39.5,Maintain
24,55.9,Raise
25,NA,Maintain
26,28.9,Raise
27,NA,Maintain
28,15.8,Maintain
29,NA,Maintain
30,73,Maintain
31,85.5,Maintain
32,43.9,Maintain
33,19,Raise
34,63.9,Maintain
35,70.4,Maintain
36,NA,Maintain
37,39.8,Maintain
38,73.1,Maintain
39,17.1,Maintain
40,51.7,Maintain
41,34.7,Maintain
42,64.9,Lower
43,NA,Maintain
44,45.3,Maintain
45,52.8,Lower
46,4.1,Lower
47,NA,Maintain
48,45.8,Maintain
49,NA,Maintain
50,52.8,Maintain
51,13.8,Raise
52,NA,Lower
53,78.9,Raise
54,76.2,Lower
55,36.7,Maintain
56,18.9,Raise
57,73.6,Lower
58,16.7,Lower
59,69.5,Maintain
60,10.5,Maintain
61,22.9,Maintain
62,23.2,Raise
63,NA,Maintain
64,NA,Maintain
65,80.3,Maintain
66,74.3,Lower
67,44.6,Maintain
68,17.4,Maintain
69,37.6,Raise
70,11,Maintain
71,21,Maintain
72,1.9,Maintain
73,4.4,Lower
74,53.8,Raise
75,85.5,Lower
76,NA,Maintain
77,NA,Maintain
78,9.5,Raise
79,76.5,Lower
80,48.7,Maintain
81,63.4,Maintain
82,54.7,Maintain
83,13.3,Maintain
84,88.9,Maintain
85,25.9,Maintain
86,NA,Maintain
87,28.4,Raise
88,NA,Maintain
89,79.1,Lower
90,57,Lower
91,NA,Maintain
92,85.2,Maintain
93,NA,Maintain
94,71.3,Maintain
95,46.6,Maintain
96,58.7,Maintain
97,NA,Maintain
98,42.7,Maintain
99,31.5,Maintain
100,NA,Maintain
101,NA,Maintain
102,59,Maintain
103,76,Maintain
104,86,Maintain
105,35.4,Maintain
106,48.5,Maintain
107,54.4,Maintain
108,66.6,Maintain
109,85,Maintain
110,NA,Maintain
111,15.1,Maintain
112,59.7,Lower
113,74.8,Lower
114,61.2,Maintain
115,NA,Maintain
116,17.9,Maintain
117,61.8,Maintain
118,80.7,Maintain
119,6.9,Raise
120,22,Raise
121,70.8,Lower
122,20.7,Raise
123,37.6,Raise
124,28,Raise
125,NA,Maintain
126,NA,Raise
127,22.4,Lower
128,39.6,Maintain
129,NA,Lower
130,39.5,Maintain
131,24.1,Maintain
132,25.8,Maintain
133,9.7,Maintain
134,85.6,Maintain
135,66.9,Maintain
136,32.3,Maintain
137,NA,Maintain
138,NA,Maintain
139,74.6,Maintain
140,NA,Maintain
141,21.9,Raise
142,36.7,Lower
143,21.3,Maintain
144,36.7,Maintain
145,35.2,Raise
146,NA,Maintain
147,NA,Maintain
148,65.5,Maintain
149,52.1,Maintain
150,25.5,Lower
151,37,Raise
152,68.4,Maintain
153,39.9,Lower
154,52.7,Maintain
155,17.6,Raise
156,31.3,Maintain
157,NA,Maintain
158,52,Maintain
159,NA,Maintain
160,12.6,Lower
